Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Investment Stage,Investor Type,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Hewlett Packard Enterprise,https://www.crunchbase.com/organization/hewlett-packard-enterprise,,"Data Center, Electronics, Enterprise Software, Information Technology, IT Management, Network Security, Outsourcing, Service Industry, Software","Spring, Texas, United States",Hewlett Packard Enterprise is an edge-to-cloud company that uses comprehensive solutions to accelerate business outcomes.,"2,265","Greater Houston Area, Southern US",Closed,1939-07-02,day,2015-11-02,day,2017-04-03,day,For Profit,https://www.hpe.com,"Hewlett Packard Enterprise is an edge-to-cloud platform-as-a-service company that helps organizations accelerate outcomes by unlocking value from their data, everywhere. Built on decades of reimagining the future and innovating to advance how people live and work, HPE delivers unique, open, and intelligent technology solutions. HPE focuses primarily on enterprise-level solutions, including servers, storage, networking, software, and consulting services. They cater to various industries, offering technologies for data centers, cloud computing, edge computing, and other IT infrastructure needs. HPE has a long history in the technology sector and is known for its contributions to the development of computing and IT systems.",,,,,"Consumer Electronics, Hardware, Information Technology, Other, Privacy and Security, Professional Services, Software","Bill Hewlett, David Packard, Ross Perot",2,M&A,2025-04-15,1500000000,USD,1500000000,Post-IPO Equity,1500000000,USD,1500000000,Post-IPO Equity,2850000000,USD,2850000000,2850000000,USD,2850000000,Elliott Management Corp.,Elliott Management Corp.,1,1
Dell Technologies,https://www.crunchbase.com/organization/dell-technologies,,"Data Management, Information and Communications Technology (ICT), Information Services, Information Technology","Round Rock, Texas, United States",Dell Technologies provides essential infrastructure for organizations to build their digital future.,"2,312",Southern US,Active,2016-09-07,day,2018-12-28,day,,,For Profit,https://www.delltechnologies.com,"Dell Technologies is an American multinational technology company that provides personal computers, servers, monitors, computer software, computer security and network security, as well as information security services. Dell Technologies has a robust ecosystem of component and assembly partners and also relies heavily on channel partners to fulfil its sales.",,,,,"Data and Analytics, Information Technology",Michael Dell,1,IPO,2025-09-27,4500000000,USD,4500000000,Post-IPO Debt,,,,,,,,4500000000,USD,4500000000,,,,
Capgemini,https://www.crunchbase.com/organization/cap-gemini,,"Consulting, Information Technology, InsurTech, IT Management, Software","Paris, Ile-de-France, France","Capgemini is a software company that provides consulting, technology, and digital transformation services.","2,436","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1967-01-01,year,1999-04-01,day,,,For Profit,https://www.capgemini.com,"Capgemini helps businesses imagine their future and make it real with AI, technology and people. As a leading advisor and transformation partner to companies around the world, we have leveraged technology to enable business transformation for almost60 years. We address the entire breadth of business needs, from strategy and design to managing operations and engineering. Drawing on deep industry knowledge and technical expertise in cloud, data, artificial intelligence, connectivity, software, digital engineering, and platforms.",,,,,"Financial Services, Information Technology, Professional Services, Software","Joe Moye, Serge Kampf",1,IPO,2025-09-18,4000000000,EUR,4715552008,Post-IPO Debt,,,,,,,,4000000000,EUR,4715552008,,,,
HP,https://www.crunchbase.com/organization/hewlett-packard,,"Computer, Consumer Electronics, Hardware, IT Infrastructure, Software","Palo Alto, California, United States","HP is a manufacturer and seller of personal computers, printers, computer hardwares, and business solutions.","2,601","San Francisco Bay Area, Silicon Valley, West Coast",Active,1939-01-01,day,2002-05-02,day,,,For Profit,http://www.hp.com,"HP provides products, technologies, software, solutions, and services to individual consumers and small- and medium-sized businesses (SMBs) as well as to the government, health, and education sectors worldwide. The company’s personal systems segment offers commercial and consumer PCs, workstations, tablets, retail point-of-sale systems, calculators, and other related accessories, software, support, and services for the commercial and consumer markets. Its printing segment provides consumer and commercial printer hardware, supplies, media, and scanning devices as well as LaserJet and enterprise, inkjet and printing, and graphics solutions; and software and web services. The company’s software segment offers IT management, application testing and delivery, information management, big data analytics, security intelligence, and risk management solutions for businesses and enterprises; and licensing, support, and professional services as well as SaaS-based services. Its HP financial services segment provides leasing, financing, utility programs, and asset management services as well as investment solutions to SMBs, educational institutions, and governmental entities. The company’s corporate investments segment includes HP Labs and cloud-related business incubation projects. HP was founded in 1939 and is headquartered in Palo Alto, California.",,,,,"Consumer Electronics, Hardware, Information Technology, Software","Bill Hewlett, David Packard",3,IPO,2025-04-14,1000000000,USD,1000000000,Post-IPO Debt,4200000000,USD,4200000000,Post-IPO Equity,4200000000,USD,4200000000,5250000000,USD,5250000000,"Berkshire Hathaway, U.S. Department of Commerce","Berkshire Hathaway, U.S. Department of Commerce",2,2
Vodafone,https://www.crunchbase.com/organization/vodafone,,"Information Technology, Messaging, Mobile Apps, Mobile Devices, Network Security, Telecommunications","Newbury, West Berkshire, United Kingdom","Vodafone is a mobile telecommunications company that offers voice, messaging, and cellular data services.","2,712","Europe, Middle East, and Africa (EMEA)",Active,1982-01-01,year,1988-10-26,day,,,For Profit,https://www.vodafone.com,"Vodafone is a mobile telecommunications company that offers voice, messaging, and data services across mobile and fixed networks; fixed broadband and TV services; cloud and hosting as well as internet protocol-virtual private network services; roaming services; and unified communications services. The company also provides M-Pesa, a mobile money transfer and payment service that enables customers to access their bank accounts to send and receive money, purchase goods, pay bills, and save money and receive short-term loans, and Vodafone One Net, a converged fixed and mobile communications service for large and multinational companies as well as small- and medium-sized companies. In addition, Vodafone offers machine-to-machine business solutions and carrier services such as fixed and mobile connectivity and other services, such as smartphones and tablets, as well as telematics products and services. It sells its products through approximately 16,000 branded stores, distribution partners, and third-party retailers.",,,,,"Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software","Ernest Harrison, Gerry Whent",3,IPO,2023-01-17,,,,Post-IPO Equity,,,,Post-IPO Equity,5247638881,USD,5247638881,5247638881,USD,5247638881,"e&, Atlas Investissement","Atlas Investissement, e&",2,2
KoBold Metals,https://www.crunchbase.com/organization/kobold-metals,,"Artificial Intelligence (AI), Mineral, Mining, Software","Berkeley, California, United States",KoBold Metals is an AI-powered critical mineral startup that discovers essential materials for electric vehicles and renewable energy.,"2,988","San Francisco Bay Area, West Coast, Western US",Active,2018-01-01,year,,,,,For Profit,https://www.koboldmetals.com,"KoBold Metals invests in battery materials projects across the globe by combining basic ore-deposit science, big data, and scientific computing with patient private capital. The company's software uses datasets with conventional geochemical, geophysical, and geological data in statistical association models to identify prospects to ensure a cobalt supply for the electric vehicle revolution, enabling mineral exploration companies to find new sources of cobalt through machine learning and data analysis.",,,Artificial Intelligence (AI),https://www.crunchbase.com/category/artificial-intelligence,"Artificial Intelligence (AI), Data and Analytics, Natural Resources, Science and Engineering, Software","Jeff Jurinak, Josh Goldman, Kurt House",5,Late Stage Venture,2025-11-14,280004127,USD,280004127,Series C,280004127,USD,280004127,Series C,1224504127,USD,1224504127,1224504127,USD,1224504127,"Andreessen Horowitz, Bond, StepStone Group, Breakthrough Energy Ventures, T. Rowe Price","Andreessen Horowitz, Durable Capital Partners, T. Rowe Price",3,22
Verizon,https://www.crunchbase.com/organization/verizon-communications,,"Communications Infrastructure, Internet, Internet of Things, Mobile, Telecommunications","New York, New York, United States",Verizon is a broadband and telecommunications company that provides information and entertainment services.,"3,222","Greater New York Area, East Coast, Northeastern US",Active,1983-10-07,day,2000-07-03,day,,,For Profit,https://www.verizon.com,"Verizon Communications is a broadband and telecommunications company that operates 4G LTE and 3G networks as well as provides information and entertainment services. The company serves mass market, business, government, and wholesale customers by delivering broadband and other wireline and wireless communication innovations.",,,,,"Hardware, Internet Services, Mobile",,14,IPO,2025-07-30,2000000000,EUR,2285638533,Post-IPO Debt,,,,,,,,34390830999,USD,34390830999,"NYSERDA, U.S. Department of Defense, ATN International, Maryland Department of Housing and Community Development, Connect Maryland","Connect Maryland, Maryland Department of Housing and Community Development, U.S. Department of Defense",3,5
Fujitsu,https://www.crunchbase.com/organization/fujitsu,,"Cloud Computing, Cloud Infrastructure, Cyber Security, Enterprise Software, Information and Communications Technology (ICT), Information Technology, IT Infrastructure, Software","Tokyo, Tokyo, Japan",Fujitsu is a information & communications technology equipment and services firm providing IT & IT infrastructure and other services.,"3,239",Asia-Pacific (APAC),Active,1935-06-20,day,1949-05-16,day,,,For Profit,http://www.fujitsu.com,"Fujitsu is an information and communication technology (ICT) company, offering a full range of technology products, solutions, and services.",,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Alain Roy, Pierre Ducros, Serge Meilleur",,IPO,,,,,,,,,,,,,,,,,,,
NetApp,https://www.crunchbase.com/organization/netapp,,"Cloud Computing, Data Management, Data Storage, Information Technology, Infrastructure","San Jose, California, United States","NetApp specializes in data storage, data infrastructure, and data management solutions.","3,287","San Francisco Bay Area, Silicon Valley, West Coast",Active,1992-01-01,year,1995-11-21,day,,,For Profit,http://netapp.com,"The NetApp portfolio of leading data, application, and storage solutions helps organizations manage applications and data everywhere across hybrid multi-cloud environments. Their 30 years of innovation have made them the proven leader in all-flash storage. They have the only enterprise-grade storage OS available natively on the world’s biggest public clouds. Their data services offer the best security and protection in the industry. They have CloudOps services that will revolutionize how companies work in the cloud. And that’s just scratching the surface. The following values inform every decision NetApp makes—from customer interactions and social causes to designing solutions and supporting their employees. At NetApp, living these values is essential. Put the customer at the center - You don’t become a deeply trusted, indispensable partner without listening to customers, walking in their shoes, and propelling your orbit with a strong point of view. Care for each other and our communities - Caring for each other and our communities takes large doses of humility and kindness—mixed with building deep, authentic connections and topped with an unwavering commitment to collaboration. Build belonging every day - By embedding diversity and inclusion into every decision that we make, we open the door to other voices, different perspectives, and most important, our true potential for innovation. Embrace a growth mindset - We step out of our comfort zone even when it's scary and learn from both our failures and our successes. This keeps us from stepping into the dreaded fixed-mindset quicksand. Think and act like owners - Showing up with our A game, being accountable, and acting with speed and integrity are the keys to unlocking the sense of ownership that's necessary to create the future. Celebrating differences, embracing new solutions - To our NetApp® team, “walking the talk"" means we must hold ourselves accountable in our work toward greater demographic, physical and cognitive diversity. Embracing a culture of diversity requires that we create opportunities for equity, inclusion, diversity, and belonging (DEI&B) every day. And the culture of inclusion at NetApp fosters a strong community that’s empowered to innovate. The diversity, equity, inclusion, and belonging goals are a continuous process of self-reflection and growth, to build belonging within our culture, values and business practices. ""We believe that the strongest and most creative teams have the best talent, are unified in purpose, and diverse in thought and background representing the customers and communities we serve."" George Kurian, CEO, NetApp",,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Other, Software","Dave Hitz, James Lau, Michael Malcolm, Michiaki Kono",2,IPO,2025-03-12,1250000000,USD,1250000000,Post-IPO Debt,12000000,USD,12000000,Venture - Series Unknown,12000000,USD,12000000,1262000000,USD,1262000000,Sequoia Capital,Sequoia Capital,1,1
AppLovin,https://www.crunchbase.com/organization/applovin,,"Advertising, Developer Tools, Mobile, Mobile Apps","Palo Alto, California, United States",AppLovin makes technologies that help businesses of every size connect to their ideal customers.,"3,380","San Francisco Bay Area, Silicon Valley, West Coast",Active,2012-01-01,year,2021-04-15,day,,,For Profit,https://www.applovin.com,"AppLovin makes technologies that help businesses of every size connect to their ideal customers. The company provides end-to-end software and AI solutions for businesses to reach, monetize and grow their global audiences.",,,,,"Advertising, Apps, Mobile, Sales and Marketing, Software","Adam Foroughi, Andrew Karam, John Krystynak",12,IPO,2024-11-20,3550000000,USD,3550000000,Post-IPO Debt,100000,USD,100000,Post-IPO Equity,729856691,USD,729856691,5120856691,USD,5120856691,"Kohlberg Kravis Roberts & Co., Webb Investment Network, Employee Stock Option Fund, Streamlined, Nimble Ventures","GQG, Kohlberg Kravis Roberts & Co., Orient Hontai Capital",3,14
Hexagon,https://www.crunchbase.com/organization/hexagon,,"Data Visualization, Geospatial, Information Technology, Mapping Services, Software","Stockholm, Stockholms Lan, Sweden",Hexagon is a provider of information technologies that drive productivity and quality.,"3,455","European Union (EU), Nordic Countries, Scandinavia",Active,1992-01-01,year,2002-06-28,day,,,For Profit,http://www.hexagon.com,Hexagon is a provider of information technology solutions that drive productivity and quality across geospatial and industrial landscapes.,,,,,"Data and Analytics, Design, Information Technology, Navigation and Mapping, Software",,1,IPO,2024-02-22,200000,USD,200000,Grant,,,,,,,,200000,USD,200000,LIFT Ecosystem Accelerator,LIFT Ecosystem Accelerator,1,1
Alphabet,https://www.crunchbase.com/organization/alphabet,,"Artificial Intelligence (AI), Information Technology, Search Engine, Software, Video Streaming","Mountain View, California, United States","Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.","3,516","San Francisco Bay Area, Silicon Valley, West Coast",Active,2015-10-02,day,2004-08-19,day,,,For Profit,https://abc.xyz,"Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen. Alphabet is the holding company for Google and several Google entities, including Google X, Google Ventures, Google Capital, Calico, and its Life Sciences efforts.  The company's CEO, Larry Page announced the operational restructuring effort for Alphabet Inc. to replace Google Inc. as the official publicly-traded entity. He announced that all shares of Google would automatically convert into the same number of shares of Alphabet, with all of the same rights. The two classes of shares will continue to trade on Nasdaq as GOOGL and GOOG.",,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Science and Engineering, Software, Video","Larry Page, Sergey Brin",4,IPO,2026-02-09,20000000000,USD,20000000000,Post-IPO Debt,,,,Post-IPO Equity,,,,50130240845,USD,50130240845,,,,
Rolls-Royce,https://www.crunchbase.com/organization/rolls-royce-plc,,"Aerospace, Automotive, Energy, Industrial Manufacturing, Logistics, Machinery Manufacturing, Manufacturing","London, England, United Kingdom","Rolls-Royce provides aerospace engines, power systems, defense propulsion, marine solutions, and comprehensive MRO services.","3,629","Europe, Middle East, and Africa (EMEA)",Active,1906-03-15,day,1987-05-20,day,,,For Profit,http://www.rolls-royce.com,"Rolls-Royce is an industrial technology company that provides integrated power and propulsion solutions. Rolls-Royce is a power systems provider that designs, manufactures, and supports a range of products and services for air, sea, and land applications. From transportation and energy to the built environment, the company operates in some of the most intricate and crucial sectors of the global economy. The products and services offered by Rolls Royce help their clients connect people, societies, cultures, and economies. They also help meet the growing demand for power generation across numerous industries and allow governments to provide their armed forces with the necessary power to protect their citizens.",,,,,"Energy, Manufacturing, Science and Engineering, Transportation","Charles Rolls, Henry Royce",6,IPO,2026-03-17,64000000,EUR,73644735,Grant,195000000,GBP,264420045,Post-IPO Equity,195000000,GBP,264420045,350298294,USD,350298294,"UK Space Agency, United States Navy, Clean Aviation, BNF Resources, Exelon Generation Company","BNF Resources, Clean Aviation, Exelon Generation Company, UK Space Agency, United States Navy",5,5
EnduroSat,https://www.crunchbase.com/organization/endurosat,,"Aerospace, Communication Hardware, Manufacturing, Satellite Communication, Software","Sofia, Grad Sofiya, Bulgaria",EnduroSat is a smallsat & CubeSat manufacturer that offers fixed-cost space services. Trusted by NASA & ESA with 120+ satellites delivered.,"3,965","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2015-01-15,day,,,,,For Profit,https://www.endurosat.com,"EnduroSat is a smallsat & CubeSat manufacturer that offers fixed-cost space services, operating from its 17,000 m² state-of-the-art Space Center in Europe, with a growing international presence including offices in Bulgaria, France, Germany, Italy, Luxembourg, and the US. The company is focused on simplifying the space value chain and optimizing mission costs by providing end-to-end solutions, ranging from single satellite missions to constellations. With a fully integrated in-house tech stack as the fundamental principle of its architecture, EnduroSat provides exceptional quality control and rapid delivery schedules for a wide range of missions for business, science, and exploration. This proven approach has enabled the delivery of over 120 satellites for leading space agencies like NASA and ESA, alongside 350+ commercial companies, universities, and research centers worldwide. EnduroSat's satellite platforms, which can weigh up to 500kg, support all major applications including Earth observation, remote sensing, and communications. They come equipped with adaptable software configurations that allow for flexible in-orbit upgrades, ensuring evolving capabilities to meet diverse mission requirements.",,,,,"Hardware, Manufacturing, Science and Engineering, Software","Raycho Raychev, Stanimir Gantchev",9,,2025-10-30,104000000,USD,104000000,Venture - Series Unknown,104000000,USD,104000000,Venture - Series Unknown,167765247,USD,167765247,180789892,USD,180789892,"European Investment Bank, Founders Fund, Riot Ventures, Lux Capital, European Innovation Council","Ceecat Capital, EIC Accelerator, European Investment Bank, Founders Fund, Freigeist Capital, Neo Ventures, Riot Ventures",7,13
Orange,https://www.crunchbase.com/organization/orange-ac33,,"Artificial Intelligence (AI), Information Technology, Machine Learning","Akasaka, Tokyo, Japan",Orange is a developer of a variety of deep-learning models with a focus on computer vision and natural language processing for comics.,"4,003",Asia-Pacific (APAC),Active,2021-04-01,month,,,,,For Profit,https://orange.inc,Orange is a developer of a variety of deep-learning models with a focus on computer vision and natural language processing for comics.,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Shoko Ugaki,3,Seed,2025-07-31,2500000000,JPY,16576820,Debt Financing,2920000000,JPY,18975394,Seed,3170000000,JPY,20739000,5670000000,JPY,37315820,"Mitsubishi UFJ Capital, MUFG Bank, Mizuho Capital, SBI Investment, Mizuho Bank","ANRI, Chiba Dojo, GFR Fund, Globis Capital Partners, JIC Venture Growth Investments, Mitsubishi UFJ Capital, Miyako Capital, Mizuho Capital, SBI Investment, Shogakukan",10,14
BAE Systems,https://www.crunchbase.com/organization/bae-systems,,"Aerospace, Manufacturing, Military, National Security, Navigation","London, England, United Kingdom","BAE Systems is an aerospace, defence, and information security company that provides advanced and technology-led solutions.","4,025","Europe, Middle East, and Africa (EMEA)",Active,1999-11-30,day,1981-02-11,day,,,For Profit,http://www.baesystems.com,"BAE Systems engages in the design, development, manufacture, and support of defense and aerospace systems used in the air, on land, at sea, and in space. BAE Systems provides electronic systems and subsystems for military and commercial applications; security and protection products for law enforcement and first responders; and armored combat vehicles, artillery systems, and intelligent munitions, as well as support and service solutions for defense, intelligent, and civilian systems.",,,,,"Government and Military, Information Technology, Manufacturing, Navigation and Mapping, Science and Engineering",Roger Carr,9,IPO,2025-06-19,9220000,GBP,12425608,Grant,,,,,,,,142270436,USD,142270436,"Scottish Enterprise, NYSERDA, U.S. Department of Defense, U.S. Department of Commerce, United States Navy","Scottish Enterprise, Solent Local Enterprise Partnership, U.S. Department of Commerce, U.S. Department of Defense",4,6
Rio Tinto,https://www.crunchbase.com/organization/rio-tinto,,"Manufacturing, Mineral, Mining, Mining Technology, Natural Resources","Melbourne, Victoria, Australia",Rio Tinto is a mining and metals company that focuses on the extraction and processing of minerals and metals in various sectors.,"4,061","Asia-Pacific (APAC), Australasia",Active,1873-01-01,year,1990-07-06,day,,,For Profit,http://www.riotinto.com,"Rio Tinto is a mining and exploration finding better ways to provide the materials the world needs. Steel is made from iron ore. Aluminum with a low carbon footprint for electric vehicles and smartphones. Copper is used in wind turbines, electric cars, and water pipes in our homes. Borates, which aid crop growth, and titanium, which is used in paint.",,Corporate Venture Capital,,,"Manufacturing, Natural Resources, Sustainability",Hugh Matheson,4,IPO,2026-03-10,1175000000,AUD,835642908,Post-IPO Debt,,,,,,,,1220679000,AUD,866386947,"International Finance Corporation, Australian Renewable Energy Agency, IDB Invest, Japan Bank for International Cooperation, Export Finance Australia","Australian Renewable Energy Agency, Canadian Government",2,6
Akamai Technologies,https://www.crunchbase.com/organization/akamai-technologies,,"Cyber Security, Digital Media, SaaS, Software, Video Streaming","Cambridge, Massachusetts, United States","Akamai is a provider of cloud services that help enterprises provide secure, high-performing user experiences on any device.","4,185","Greater Boston Area, East Coast, New England",Active,1998-08-01,day,1999-10-29,day,,,For Profit,https://www.akamai.com,"Akamai is the provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device, anywhere. If you've ever shopped online, downloaded music, watched a web video or connected to work remotely, you've probably used Akamai's cloud platform. Akamai helps enterprises accelerate innovation in the hyperconnected world by removing the complexities of technology so you can focus on driving your business faster forward. We enable enterprises to capitalize on market opportunities presented by trends like mobile and cloud while overcoming the challenges presented by security threats and the need to reach users globally. The Akamai Intelligent Platform™ reaches globally and delivers locally, providing unmatched reliability, security and visibility into your online business.",,,,,"Content and Publishing, Information Technology, Media and Entertainment, Privacy and Security, Software, Video","Jonathan Seelig, Kent Roberts, Tom Leighton",4,IPO,2025-05-14,1500000000,USD,1500000000,Post-IPO Debt,,,,Post-IPO Equity,35000000,USD,35000000,2635000000,USD,2635000000,"IVP, Battery Ventures, Polaris Partners, The TCW Group, Baker Capital",IVP,1,5
TEKEVER,https://www.crunchbase.com/organization/tekever,,"Aerospace, Information Technology, Military, Software","Lisboa, Lisboa, Portugal","The Tekever Group is a provider of innovative technologies in Software, Aerospace, Defence, and Security Markets.","4,216","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2001-01-04,day,,,,,For Profit,http://www.tekever.com,"TEKEVER is a UAS manufacturer offering surveillance-as-a-service solutions that deliver actionable data and intelligence. TEKEVER offers 3 mission-oriented product lines that include: AR3, a modular and transformable asset with an optional VTOL capability, designed for long-distance airborne operations, particularly in challenging terrain circumstances; For close-range intelligence, surveillance, and reconnaissance tasks, AR4 is the best available equipment; AR5 monitors the water with the capability of routine BRLOS operation with high-capacity satellite communications, and able to transport payloads like maritime radar. TEKEVER helps organizations to improve their business by taking advantage of better, faster, and tailor-made information.",,,,,"Government and Military, Information Technology, Science and Engineering, Software","Nuno Cunha, Pedro Sinogas, Vítor Cristina",3,,2025-05-06,400000000,GBP,534202302,Venture - Series Unknown,400000000,GBP,534202302,Venture - Series Unknown,630669891,USD,630669891,630669891,USD,630669891,"Baillie Gifford, Iberis Capital, National Security Strategic Investment Fund, NATO Innovation Fund, Crescent Cove Advisors","Baillie Gifford, NATO Innovation Fund, Ventura Capital",3,7
Vincorion,https://www.crunchbase.com/organization/vincorion,,"Electronics, Industrial Manufacturing","Kiel, Schleswig-Holstein, Germany",VINCORION is a technology company focusing on energy systems in safety-critical application areas.,"4,331","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1947-01-01,year,2026-03-20,day,,,For Profit,https://www.vincorion.com,,,,,,"Consumer Electronics, Hardware, Manufacturing",,,M&A,,,,,,,,,,,,,,,,,,,
Taiwan Semiconductor Manufacturing Company,https://www.crunchbase.com/organization/tsmc,,"Consumer Electronics, Electronics, Manufacturing, Product Design, Semiconductor","Hsinchu, T'ai-wan, Taiwan",TSMC is a semiconductor manufacturer that offers wafer production processing and dedicated IC foundry.,"4,374",Asia-Pacific (APAC),Active,1987-01-01,day,1994-09-05,day,,,For Profit,http://www.tsmc.com,"Taiwan Semiconductor Manufacturing Company provides semiconductor manufacturing and related technology services to global technology firms. It produces integrated circuits through a dedicated foundry model, offering wafer fabrication across a range of process technologies and advanced packaging services for customers in computing, mobile, automotive, and connected devices. The company supports design enablement and mask services to help partners optimize chip designs for production and integrates diverse process solutions, including logic and specialty technologies. It operates multiple fabrication facilities and maintains engineering and customer support functions to fulfill production requirements.",,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering",Morris Chang,4,IPO,2024-04-08,6600000000,USD,6600000000,Grant,4100000000,USD,4100000000,Post-IPO Equity,4100000000,USD,4100000000,14200000000,USD,14200000000,"Berkshire Hathaway, CID Group, U.S. Department of Commerce","Berkshire Hathaway, U.S. Department of Commerce",2,3
SAP,https://www.crunchbase.com/organization/sap,,"Analytics, Business Intelligence, Business Process Automation (BPA), Computer, Data Management, Finance, Software","Walldorf, Baden-Wurttemberg, Germany","SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.","4,441","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1972-04-01,day,1998-08-03,day,,,For Profit,https://www.sap.com,"SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors. The company offers solutions covering various lines of businesses, including asset management, commerce, finance, human resources, manufacturing, marketing, sales, services, sourcing and procurement, supply chain, and sustainability as well as research and development, and engineering.",,,,,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software","Andreas Neumeier, Claus Wellenreuther, Dietmar Hopp, Hans-Werner Hector, Hasso Plattner, Kaderjan Ilghar, Klaus Tschira",2,IPO,2019-04-24,1300000000,USD,1300000000,Post-IPO Equity,1300000000,USD,1300000000,Post-IPO Equity,1300000000,USD,1300000000,1301371240,USD,1301371240,"Elliott Management Corp., EISMEA",Elliott Management Corp.,1,2
Collective Mining,https://www.crunchbase.com/organization/collective-mining,,"Mineral, Mining, Precious Metals","Toronto, Ontario, Canada",Collective Mining is a company dedicated to mineral exploration.,"4,502",Great Lakes,Active,2020-01-01,year,2022-07-18,day,,,For Profit,https://www.collectivemining.com/,"Collective Mining is a company dedicated to mineral exploration. It works hand-in-hand with its stakeholders to build a stronger and mutually beneficial future, while strictly adhering to a principled approach toward the environment, sustainability, and governance. The company is advancing exploration on large-scale copper-gold-molybdenum porphyry targets in the mining-friendly department of Caldas in Colombia.",,,,,Natural Resources,Ari Sussman,5,IPO,2025-10-01,140000000,CAD,100426094,Post-IPO Equity,140000000,CAD,100426094,Post-IPO Equity,298650000,CAD,213742328,298650000,CAD,213742328,Agnico-Eagle Mines Limited,Agnico-Eagle Mines Limited,1,1
Vedanta,https://www.crunchbase.com/organization/sesa-sterlite,,Natural Resources,"Hyderabad, Telangana, India",Vedanta is a global diversified natural resources company.,"4,505",Asia-Pacific (APAC),Active,1954-01-01,year,1998-05-13,day,,,For Profit,http://www.vedantalimited.com/,"Built on core values of entrepreneurship, growth, excellence, trust and sustainability, Sesa Sterlite is a global diversified natural resources company.",,,,,"Natural Resources, Sustainability",D.P. Agarwal,8,IPO,2026-03-16,25750000000,INR,279081207,Post-IPO Debt,85000000000,INR,1015161739,Post-IPO Equity,85000000000,INR,1015161739,4555402567,USD,4555402567,"ICICI Prudential Mutual Fund, Societe Generale, Goldman Sachs Asset Management, Abu Dhabi Investment Authority, Union Bank of India",Union Bank of India,1,11
Trimble,https://www.crunchbase.com/organization/trimble,,"Indoor Positioning, Mapping Services, Navigation, Software, Web Hosting","Westminster, Colorado, United States","Trimble develops positioning technology solutions for surveying, construction, agriculture, public safety and mapping purposes.","4,564","Greater Denver Area, Western US",Active,1978-01-01,year,1990-07-27,day,,,For Profit,https://www.trimble.com/,"Trimble applies technology to make field and mobile workers in businesses and government significantly more productive. Solutions are focused on applications requiring position or location—including surveying, construction, agriculture, fleet and asset management, public safety and mapping. In addition to utilizing positioning technologies,such as GPS, lasers and optics, Trimble solutions may include software content specific to the needs of the user. Wireless technologies are utilized to deliver the solution to the user and to ensure a tight coupling of the field and the back office. Founded in 1978, Trimble is headquartered in Sunnyvale, Calif.",,,,,"Internet Services, Navigation and Mapping, Software",Charles Trimble,2,IPO,2022-12-30,1000000000,USD,1000000000,Post-IPO Debt,19200000,USD,19200000,Post-IPO Equity,19200000,USD,19200000,1019200000,USD,1019200000,Bank of America,Bank of America,1,1
