Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Website,Investor Type,Top 5 Investors,Lead Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Founders,Primary Industry,Primary Industry URL,Industry Groups
Wheaton Precious Metals,https://www.crunchbase.com/organization/wheaton-precious-metals-corp,,"Mineral, Mining, Mining Technology, Precious Metals","Vancouver, British Columbia, Canada",Wheaton Precious Metals is a precious metals streaming company dealing with the purchase of precious metals or cobalt production from mines.,"20,658",$1B to $10B,https://www.wheatonpm.com/Home/,,,,1722621408,USD,1722621408,,,,Natural Resources
Fincantieri,https://www.crunchbase.com/organization/fincantieri,,"Construction, Industrial, Machinery Manufacturing, Manufacturing, Marine Technology, Shipping","Trieste, Friuli-Venezia Giulia, Italy","Fincantieri is a shipbuilding complex involved in the construction of cruise ships, ship repairs and production of systems and components.","21,962",$1B to $10B,https://www.fincantieri.com/en,,"Deutsche Bank, Intesa Sanpaolo, Banca Monte dei Paschi di Siena, Banco BPM, CaixaBank",,800000000,EUR,845531892,,,,"Manufacturing, Real Estate, Science and Engineering, Transportation"
Hemlock Semiconductor Operations,https://www.crunchbase.com/organization/hemlock-semiconductor-operations,,"Manufacturing, Semiconductor","Hemlock, Michigan, United States","Hemlock Semiconductor Operations manufactures polycrystalline silicon products used in semiconductor devices, cells and modules.","23,018",$1B to $10B,https://www.hscpoly.com/,,U.S. Department of Commerce,U.S. Department of Commerce,325000000,USD,325000000,,,,"Hardware, Manufacturing, Science and Engineering"
Alta Ares,https://www.crunchbase.com/organization/alta-ares,,"Artificial Intelligence (AI), Drone Management, Drones, Security","Romainville, Ile-de-France, France",Alta Ares is a data integration surveillance service provider that utilizes drone imaging.,"26,162",,https://altaares.com/,,"Bpifrance, Kima Ventures, Starburst Accelerator, Apeiron Venture Capital, Better Angle",Expansion Ventures,2000000,EUR,2219005,,,,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software"
Elkem,https://www.crunchbase.com/organization/elkem-carbon-china,,Chemical,"Oslo, Oslo, Norway",Advanced material solutions shaping a better and more sustainable future.,"27,575",$1B to $10B,https://www.elkem.com,,"European Union, Natural Resources Canada, Innovation Norway, Enova, Norwegian Research Council","Enova, European Union, Innovation Norway, Natural Resources Canada, Norwegian Research Council, Transition énergétique Québec",200108080,USD,200108080,Sam Eyde,,,Science and Engineering
Unmanned Defense Systems,https://www.crunchbase.com/organization/unmanned-defense-systems,,"Aerospace, Manufacturing, Military","Vilnius, Vilniaus Apskritis, Lithuania","Unmanned Defense Systems researches, develops, designs, and manufactures tactical military UAV systems.","32,687",$1M to $10M,https://www.unmands.com/,,"Coinvest Capital, Gytenis Galkis, Rita Sakus, Vladas Lašas, Martynas Kandzeras",Coinvest Capital,4200000,EUR,4525068,,,,"Government and Military, Information Technology, Manufacturing, Science and Engineering"
Intelic,https://www.crunchbase.com/organization/avalor-ai,,"Aerospace, Artificial Intelligence (AI), Drones, Military","Amsterdam, Noord-Holland, The Netherlands",Command & Control software for military unmanned systems,"33,806",$1M to $10M,https://www.intelic.ai/,,Keen Venture Partners,Keen Venture Partners,2000000,EUR,2149426,Maurits Korthals Altes,,,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software"
Airbus,https://www.crunchbase.com/organization/airbus-group,,"Aerospace, Industrial, Manufacturing, Product Design, Product Research, Remote Sensing","Leiden, Zuid-Holland, The Netherlands",Airbus is a manufacturer of aircraft products.,"34,960",$10B+,http://www.airbus.com,Corporate Venture Capital,,,,,,"Bernard Lathiere, Felix Kracht, Franz Josef Strauss, Henri Ziegler, Roger Beteille",,,"Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering"
Ma’aden,https://www.crunchbase.com/organization/ma-aden,,"Industrial, Mineral, Mining, Precious Metals","Riyadh, Ar Riyad, Saudi Arabia",Ma’aden operates as a mining and metals company.,"36,737",$1B to $10B,https://www.maaden.com.sa,,,,2250000000,USD,2250000000,,,,"Manufacturing, Natural Resources"
XRF.ai,https://www.crunchbase.com/organization/the-singular-social-games,,"Military, Ports and Harbors, Wildlife Conservation","Telde, Canarias, Spain","XRF.ai provides critical help to decision-makers in challenging scenarios for the military, security, and emergency industries.","42,213",Less than $1M,https://xrf.ai,,"K Fund, GoHub Ventures, JME Ventures, EUDIS Business Accelerator",EUDIS Business Accelerator,2365000,EUR,2643688,Gustavo Medina del Rosario,,,"Government and Military, Information Technology, Sustainability, Transportation"
Sociedad Quimica Y Minera (SQM),https://www.crunchbase.com/organization/sociedad-quimica-y-minera-sqm,,"Clean Energy, Environmental Consulting","Santiago, Region Metropolitana, Chile","SQM, a worldwide company based in Chile and founded in 1968.","44,850",$1B to $10B,http://www.sqm.com/,,Tianqi Lithium,Tianqi Lithium,1600000000,USD,1600000000,,,,"Energy, Professional Services, Sustainability"
Umicore,https://www.crunchbase.com/organization/umicore,,"Energy, Recycling","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Umicore is a global materials technology and recycling group.,"48,197",$10B+,http://www.umicore.com,,"European Investment Bank, NYSERDA",European Investment Bank,1051343662,USD,1051343662,,,,"Energy, Sustainability"
AeroVironment,https://www.crunchbase.com/organization/aerovironment-efficient-energy-systems,,"Battery, Business Intelligence, Electric Vehicle","Arlington, Virginia, United States",AeroVironment is a defense technology company specializing in autonomous systems and loitering munitions.,"50,085",,https://www.avinc.com,,,,,,,,,,"Data and Analytics, Energy, Transportation"
Tianqi Lithium,https://www.crunchbase.com/organization/tianqi-lithium-corporation,,"Energy, Manufacturing, Mining","Chengdu, Sichuan, China","Tianqi Lithium is a principally engaged in the research and development, manufacture and distribution of lithium products.","51,461",,http://en.tianqilithium.com,,,,,,,,,,"Energy, Manufacturing, Natural Resources"
Czechoslovak Group,https://www.crunchbase.com/organization/czechoslovak-group,,"Aerospace, Air Transportation, Machinery Manufacturing","Karlin, Stredocesky kraj, Czech Republic",Czechoslovak Group is an industrial-technological holding company.,"56,083",$1B to $10B,https://czechoslovakgroup.cz,,,,,,,,,,"Manufacturing, Science and Engineering, Transportation"
Cisco Systems,https://www.crunchbase.com/organization/cisco-systems-danmark,,"Information Technology, Internet of Things, Network Hardware, Network Security, Software","Copenhagen, Hovedstaden, Denmark",Cisco Systems Danmark develops computer networking products and provides transforming services to assist customers to work smarter.,"61,488",$10B+,http://www.cisco.com,,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software"
Lynas Rare Earths Ltd,https://www.crunchbase.com/organization/lynas-corporation-ltd,,"Developer Platform, Manufacturing, Mining, Mining Technology, Precious Metals, Sales","Perth, Western Australia, Australia",Lynas Rare Earths is a single-segment company that specializes in the extraction and processing of rare earth materials.,"66,655",$500M to $1B,https://www.lynasrareearths.com,,"Australian Government, Hancock Prospecting, Business.gov.au, Gina Rinehart, JARE","Australian Government, Business.gov.au, Gina Rinehart, Hancock Prospecting, JARE",1024800000,AUD,671750603,,,,"Manufacturing, Natural Resources, Sales and Marketing, Software"
Sigma Lithium,https://www.crunchbase.com/organization/sigma-lithium,,"Manufacturing, Mining, Precious Metals","Toronto, Ontario, Canada",Sigma Lithium is a mining and metal company.,"66,857",$50M to $100M,http://www.sigmalithiumresources.com/,,"Santander, The Brazilian Development Bank(BNDES), Citibank, Banco do Brasil, Grand 365 Capital","Synergy Capital, The Brazilian Development Bank(BNDES)",333273944,USD,333273944,Calvyn Gardner,,,"Manufacturing, Natural Resources"
Safran,https://www.crunchbase.com/organization/safran,,"Aerospace, Infrastructure, Navigation, Transportation","Pantin, Ile-de-France, France","Safran is an international technology group with divisions in aerospace, defense, and security.","69,204",$10B+,http://www.safran-group.com,,BlackRock,,,,,Marcel Môme,,,"Navigation and Mapping, Other, Science and Engineering, Transportation"
Honeywell,https://www.crunchbase.com/organization/honeywell,,"Aerospace, Electronics, Information Technology, Innovation Management, Manufacturing, Service Industry","Charlotte, North Carolina, United States","Honeywell is a technology and manufacturing company that produces products for the automation, aviation, and energy transition industries.","69,425",$10B+,http://www.honeywell.com,,US Department of Energy,,11400000,USD,11400000,Mark C. Honeywell,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Other, Professional Services, Science and Engineering"
First Quantum Minerals,https://www.crunchbase.com/organization/first-quantum-minerals,,"Manufacturing, Mineral, Mining, Professional Services","Vancouver, British Columbia, Canada","First Quantum Minerals specializes in producing copper, nickel, gold, zinc and platinum group elements.","71,230",$1B to $10B,http://www.first-quantum.com/,,PIM Cupric Holdings,PIM Cupric Holdings,4750950996,USD,4750950996,Philip Pascall,,,"Manufacturing, Natural Resources, Other"
Ganfeng Lithium,https://www.crunchbase.com/organization/ganfeng-lithium,,"Chemical, Manufacturing, Mining","Shanghai, Shanghai, China",Ganfeng Lithium researches and produces lithium products.,"77,565",$1B to $10B,http://www.ganfenglithium.com/,,,,425738606,USD,425738606,,,,"Manufacturing, Natural Resources, Science and Engineering"
C2Grid,https://www.crunchbase.com/organization/c2grid,,"3D Technology, Artificial Intelligence (AI), Intelligent Systems","Tallinn, Harjumaa, Estonia","C2Grid uses AI to turn video into 3D situational awareness, boosting decision-making and safety in military and civilian operations.","96,534",,https://www.c2grid.com/,,"BSV Ventures, Sunfish Partners, Mike Oliinyk",Sunfish Partners,300000,EUR,353666,Rostyslav Boychuk,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
KNDS,https://www.crunchbase.com/organization/knds,,"Machinery Manufacturing, Manufacturing, National Security, Physical Security, Security","Amsterdam, Noord-Holland, The Netherlands",KNDS provides and develops equipment and systems for the land defense industry.,"100,127",$1B to $10B,https://www.knds.com/,,,,,,,,,,"Administrative Services, Government and Military, Manufacturing, Privacy and Security"
ThyssenKrupp Marine Systems,https://www.crunchbase.com/organization/thyssenkrupp-marine-systems,,"Manufacturing, Marine Technology","Kiel, Schleswig-Holstein, Germany","ThyssenKrupp Marine Systems has manufactures submarines, naval surface vessels, and yachts.","105,149",$100M to $500M,https://www.thyssenkrupp-marinesystems.com,,,,,,,,,,"Manufacturing, Science and Engineering"
Chemring Group,https://www.crunchbase.com/organization/chemring-group,,"Aerospace, CivicTech, Consulting, Manufacturing, Service Industry, Test and Measurement","Romsey, Hampshire, United Kingdom",Chemring is a global group of companies that specializes in the manufacture of energetic material products and advanced expendable,"112,330",$500M to $1B,https://www.chemring.com,,"European Commission, Government of Norway",European Commission,90000000,GBP,114541852,,,,"Data and Analytics, Government and Military, Information Technology, Manufacturing, Other, Professional Services, Science and Engineering"
Ferroglobe,https://www.crunchbase.com/organization/ferroglobe,,"Consulting, Manufacturing, Mining","London, England, United Kingdom",Ferroglobe is one of the leading materials innovation companies in the world.,"116,230",$1B to $10B,https://www.ferroglobe.com/,,,,147623624,USD,147623624,,,,"Manufacturing, Natural Resources, Professional Services"
Liontown,https://www.crunchbase.com/organization/liontown-resources,,"Battery, Mineral, Mining","Perth, Western Australia, Australia",Liontown is a battery metals exploration and development company that has expertise Lithium-Tantalum Project.,"116,950",$100M to $500M,https://www.ltresources.com.au,,"Societe Generale, LG Energy Solution, Commonwealth Bank of Australia, Clean Energy Finance Corporation, National Australia Bank",LG Energy Solution,1379000000,AUD,935979371,,,,"Energy, Natural Resources"
Baykar,https://www.crunchbase.com/organization/baykar,,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Manufacturing","Istanbul, Istanbul, Turkey","Baykar specializes in providing UAV systems, unmanned air systems, and artificial intelligent services for the automotive industry.","117,165",$1B to $10B,https://baykartech.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software, Transportation"
General Dynamics,https://www.crunchbase.com/organization/general-dynamics,,"Aerospace, National Security, Public Transportation","Falls Church, Virginia, United States","General Dynamics is a defense industry contractor for shipbuilding, marine, combat and defense systems and, munitions.","117,516",$10B+,https://www.gd.com,,"US Army, United States Navy",,84900000,USD,84900000,John Philip Holland,,,"Government and Military, Science and Engineering, Transportation"
Mineral Resources,https://www.crunchbase.com/organization/mineral-resources,,"Mineral, Mining, Mining Technology","Applecross, Western Australia, Australia",Mineral Resources mining services and processing company.,"118,139",$1B to $10B,https://www.mineralresources.com.au/,,,,1800000000,USD,1800000000,Chris Ellison,,,Natural Resources
Dassault Aviation,https://www.crunchbase.com/organization/dassault-aviation,,"Aerospace, Innovation Management, Manufacturing, National Security","Saint-cloud, Ile-de-France, France","Dassault Aviation is an aircraft manufacturer of military, regional, and business jets.","124,882",$1B to $10B,http://www.dassault-aviation.com/en/,,,,,,,Marcel Bloch,,,"Government and Military, Manufacturing, Professional Services, Science and Engineering"
DAQO NEW ENERGY,https://www.crunchbase.com/organization/daqo-new-energy-corp,,"Energy, Manufacturing, Renewable Energy, Solar","Wanzhou, Guangdong, China",Daqo New Energy is a leading polysilicon manufacturer based in China,"130,723",$1B to $10B,http://www.dqsolar.com,,"Morgan Stanley, GGV Capital, Chongqing Rural Commercial Bank",Morgan Stanley,76050000,USD,76050000,Gongda Yao,,,"Energy, Manufacturing, Natural Resources, Sustainability"
Bharat Electronics,https://www.crunchbase.com/organization/bharat-electronics,,"Electronics, Government, Information Technology, Manufacturing, National Security, Service Industry","Bengaluru, Karnataka, India",Bharat Electronics operates as a state-owned aerospace and defense company.,"144,784",$1B to $10B,http://www.bel-india.in/,,,,,,,Venkateswara Gowtama Mannava,,,"Consumer Electronics, Government and Military, Hardware, Information Technology, Manufacturing, Other"
QinetiQ,https://www.crunchbase.com/organization/qinetiq,,"Aerospace, Cyber Security, Information Technology, Law Enforcement, Military, National Security, Space Travel, Test and Measurement","Cardigan, Ceredigion, United Kingdom","QinetiQ is an international provider of technology-based services and solutions to the defense, security and related markets.","162,885",$1B to $10B,http://www.qinetiq.com,,The Carlyle Group,,,,,Syed Sikandar Ali,,,"Data and Analytics, Government and Military, Information Technology, Privacy and Security, Science and Engineering, Transportation"
AVICOPTER PLC,https://www.crunchbase.com/organization/avicopter-plc,,"Aerospace, Industrial, Industrial Manufacturing","Harbin, Heilongjiang, China","AVIC Helicopter designs, develops, manufactures, and sells helicopters, airplane parts, and aviation-related products.","168,474",$1B to $10B,http://avicopter.avic.com,,"UBS, China Structural Reform Fund, Guosheng Group, Nuode Asset Management, Guotai Junan Financial Holdings",,2999999973,CNY,414886110,,,,"Manufacturing, Science and Engineering"
Arafura Resources,https://www.crunchbase.com/organization/arafura-resources,,Association,"Perth, Western Australia, Australia",Arafura Resources is an Australian company with a world class rare earths resource in the Northern Territory of Australia.,"170,374",$500M to $1B,http://www.arultd.com,,"Export Development Canada, Canaccord Genuity Group, National Reconstruction Fund Corporation, Bell Potter","Bell Potter, Canaccord Genuity Group, Export Development Canada, National Reconstruction Fund Corporation",499216566,USD,499216566,,,,Other
Eviden,https://www.crunchbase.com/organization/eviden,,"Big Data, Financial Services, Information Technology","Bezons, Ile-de-France, France","Eviden offers solutions including advanced computing, digital security, net zero transformation, and digital assurance.","171,968",$1B to $10B,https://eviden.com,,,,,,,,,,"Data and Analytics, Financial Services, Information Technology"
Pilbara Minerals,https://www.crunchbase.com/organization/pilbara-minerals,,Mining,"Perth, Western Australia, Australia",Pilgangoora has been confirmed as one of the largest spodumene (lithium pyroxene) and tantalite projects in the world .,"179,461",$500M to $1B,http://pilbaraminerals.com.au,,Contemporary Amperex Technology,Contemporary Amperex Technology,103708031,AUD,71257999,"Nick Kephala, Stephen Hobbs",,,Natural Resources
Israel Aerospace Industries,https://www.crunchbase.com/organization/israel-aerospace-industries,,,"Lod, HaMerkaz, Israel",Israel Aerospace Industries develops and manufactures military and commercial aerospace and defense systems.,"184,415",$1B to $10B,http://www.iai.co.il,,,,,,,William Creagh,,,
Diehl Defence,https://www.crunchbase.com/organization/diehl-defence,,"Business Development, Innovation Management, Training","Überlingen, Baden-Wurttemberg, Germany",Diehl Defence is a provider of high-tech defense equipment.,"187,824",$1B to $10B,https://www.diehl.com/defence/de/,,,,,,,,,,"Education, Professional Services"
Bayan Resources,https://www.crunchbase.com/organization/bayan-resources,,"Mineral, Mining","Kebayoran Baru, Jakarta Raya, Indonesia",Bayan Resources is a coal mining company.,"195,276",$1B to $10B,https://www.bayan.com.sg/,,,,49400000,USD,49400000,Low Tuck Kwong,,,Natural Resources
Rafael Advanced Defense Systems,https://www.crunchbase.com/organization/rafael-advanced-defense-systems,,"Enterprise, Manufacturing, National Security, Security","Haifa, Hefa, Israel",Rafael develops and manufactures advanced defense systems for the Israeli Defense Forces.,"196,732",$1B to $10B,http://www.rafael.co.il,,,,,,,,,,"Government and Military, Manufacturing, Other, Privacy and Security"
Freeport Mcmoran,https://www.crunchbase.com/organization/freeport-mcmoran,,Mining,"Phoenix, Arizona, United States",Freeport-McMoRan Copper & Gold Inc. is the world's largest publicly traded copper company.,"197,721",$10B+,https://fcx.com,,,,,,,Eric Pierson Swenson,,,Natural Resources
Naval Group,https://www.crunchbase.com/organization/naval-group,,"Aerospace, Energy, Industrial, Security","Paris, Ile-de-France, France",Naval Group is a defense contractor and industrial group that specialized in naval-based defense platform and the marine renewable energy.,"201,371",$1B to $10B,http://www.naval-group.com,,,,,,,,,,"Energy, Manufacturing, Privacy and Security, Science and Engineering"
Agnico-Eagle Mines Limited,https://www.crunchbase.com/organization/agnico-eagle-mines-limited,,"Mineral, Mining Technology, Precious Metals","Toronto, Ontario, Canada",Agnico Eagle Mines Limited (Agnico Eagle) is a Canada-based international gold producer,"210,019",$1B to $10B,http://agnicoeagle.com,,,,,,,Paul Penna,,,Natural Resources
Patricomp Oy,https://www.crunchbase.com/organization/patricomp-oy,,"Aerospace, Manufacturing","Jämsä, Western Finland, Finland",Patricomp Oy operates as an aerospace company servicing both the civil and military aircraft industries.,"214,255",$500M to $1B,https://www.patriagroup.com/,,,,,,,,,,"Manufacturing, Science and Engineering"
HII Mission Technologies,https://www.crunchbase.com/organization/hii-technical-solutions-a-division-of-huntington-ingalls-industries,,,"Mclean, Virginia, United States","Hii's Mission Technologies develops integrted solutions that enable today's connected, all-domain force.","221,202",,https://tsd.huntingtoningalls.com/,,,,,,,,,,
Kongsberg,https://www.crunchbase.com/organization/kongsberg-gruppen,,"Aerospace, Industrial Engineering, Mechanical Engineering","Kongsberg, Buskerud, Norway","Kongsberg is a technology corporation that delivers advanced and reliable solutions for the safety, security, and performance of industries.","226,961",$1B to $10B,http://www.kongsberg.com,,,,,,,Poul Steenstrup,,,"Manufacturing, Science and Engineering"
HAVELSAN,https://www.crunchbase.com/organization/havelsan,,"Cyber Security, Information and Communications Technology (ICT), Software","Ankara, Ankara, Turkey","HAVELSAN is a software, and systems company provides global solutions in defense, and IT sectors.","232,965",$100M to $500M,https://www.havelsan.com.tr/,,,,,,,,,,"Information Technology, Privacy and Security, Software"
TSMC Arizona,https://www.crunchbase.com/organization/tsmc-arizona,,Manufacturing,"Phoenix, Arizona, United States","In the city of Phoenix, TSMC Arizona aims to represent the world’s most advanced semiconductor technology in the United States.","234,908",,https://www.tsmc.com/static/abouttsmcaz/index.htm,,,,,,,,,,Manufacturing
Meta for Developers,https://www.crunchbase.com/organization/facebook-for-developers,,"Business Development, Content, Internet, Machine Learning, Management Information Systems","Menlo Park, California, United States","Meta for Developers develops content and business tools, AI, AR and VR.","235,454",,https://developers.meta.com/,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Professional Services, Software"
Wacker Chemie,https://www.crunchbase.com/organization/wacker-chemie-ag,,"Chemical, Chemical Engineering, Health Care, Information Technology, Manufacturing","München, Bayern, Germany",Wacker Chemie is a global chemical company.,"235,985",$1B to $10B,http://www.wacker.com,,Ben Franklin Technology Partners of Northeastern Pennsylvania,,,,,Alexander Wacker,,,"Health Care, Information Technology, Manufacturing, Science and Engineering"
Roketsan,https://www.crunchbase.com/organization/roketsan,,"Aerospace, Manufacturing, Space Travel, Transportation","Ankara, Ankara, Turkey","Roketsan is a Turkish weapons manufacturer that specializes in designing, developing, and manufacturing rockets and missiles.","241,846",,https://roketsan.com.tr/tr,,,,,,,,,,"Manufacturing, Science and Engineering, Transportation"
Tongwei,https://www.crunchbase.com/organization/tongwei-co,,"AgTech, Energy, Information Technology","Chengdu, Sichuan, China",Tongwei is a private technology-based company that primarily engages in agriculture and energy industry.,"252,753",,http://www.tongwei.com.cn/,,Houji Capital,,,,,,,,"Agriculture and Farming, Energy, Information Technology"
Coal India,https://www.crunchbase.com/organization/coal-india,,"Energy, Mining","Kolkata, West Bengal, India",Coal India is a Maharatna company that produces coal in India.,"255,766",$10B+,https://www.coalindia.in/index-hi.html,,,,,,,,,,"Energy, Natural Resources"
MTU Aero Engines GmbH,https://www.crunchbase.com/organization/mtu-aero-engines-gmbh,,"Aerospace, Machinery Manufacturing, Manufacturing","München, Bayern, Germany",MTU Aero Engines is Germany’s leading engine manufacturer and an established global player in the industry.,"257,682",$1B to $10B,http://www.mtu.de/,,,,,,,Karl Rapp,,,"Manufacturing, Science and Engineering"
MBDA,https://www.crunchbase.com/organization/mbda,,"Manufacturing, National Security, Security","Le Plessis-robinson, Ile-de-France, France",MBDA designs and produces missiles and missile systems.,"264,921",$1M to $10M,http://www.mbda-systems.com/,,,,,,,,,,"Government and Military, Manufacturing, Privacy and Security"
United Shipbuilding Corporation,https://www.crunchbase.com/organization/united-shipbuilding-corporation,,"Association, Building Maintenance, Construction, Logistics, Shipping","Moscow, Moscow City, Russian Federation","United Shipbuilding Corporation unites shipbuilding, repair, and maintenance subsidiaries in western and northern Russia","267,826",$50M to $100M,https://www.aoosk.ru,,,,,,,,,,"Other, Real Estate, Transportation"
Indium,https://www.crunchbase.com/organization/indium-corporation,,"Advanced Materials, Developer Platform, Manufacturing","Clinton, New York, United States","Indium is a premier materials supplier to the global electronics, semiconductor, thin film, and solar markets.","276,282",$100M to $500M,http://www.indium.com/,,NYSERDA,,150000,USD,150000,"Daniel Gray, J. Robert Dyer, William S. Murray",,,"Manufacturing, Science and Engineering, Software"
Nammo,https://www.crunchbase.com/organization/nammo,,"3D Printing, Consumer Electronics, Manufacturing","Raufoss, Oppland, Norway",NAMMO AS is a developer and manufacturer of ammunition systems and missile & space propulsion products.,"279,845",$1M to $10M,https://www.nammo.com/,,,,,,,Raufoss Ammunisjonsfabrikker,,,"Consumer Electronics, Hardware, Manufacturing"
China Aerospace Science and Technology Corporation,https://www.crunchbase.com/organization/china-aerospace-science-and-technology-corporation,,"Aerospace, Information Technology, Satellite Communication, Software, Software Engineering","Beijing, Beijing, China","CASC is a large state-owned enterprise group with its own famous brands such as Shenzhou and Long March, intellectual properties.","306,544",$10B+,http://english.spacechina.com/,,,,,,,,,,"Hardware, Information Technology, Science and Engineering, Software"
Exxelia Group,https://www.crunchbase.com/organization/exxelia-group,,"Electronics, Manufacturing","Paris, Ile-de-France, France",Exxelia Group is designs and manufactures electronic and electromechanical solutions.,"307,325",$500M to $1B,http://www.exxelia.com/,,HarbourVest Partners,HarbourVest Partners,,,,,,,"Consumer Electronics, Hardware, Manufacturing"
American Elements,https://www.crunchbase.com/organization/american-elements,,Manufacturing,"Los Angeles, California, United States","American Elements Certified bulk, lab quantity manufacturer, supplier of high purity metal, chemical, nanoparticle & other advanced material","307,916",$10M to $50M,https://www.americanelements.com,,,,,,,,,,Manufacturing
Babcock International,https://www.crunchbase.com/organization/babcock-international,,"Asset Management, Business Development, Facility Management, Industrial Engineering, Infrastructure, Marine Technology, Mechanical Engineering, National Security, Nuclear, Project Management","London, England, United Kingdom",Babcock International is a work-based learning provider that provides training programmes to learners nationwide.,"316,686",$1B to $10B,http://babcockinternational.com,,,,,,,Stephen Wilcox,,,"Administrative Services, Financial Services, Government and Military, Manufacturing, Other, Professional Services, Real Estate, Science and Engineering"
KGHM International,https://www.crunchbase.com/organization/kghm-international,,"Manufacturing, Precious Metals","Vancouver, British Columbia, Canada",KGHM International is develops and operates mines focusing primarily on copper.,"344,778",$1B to $10B,http://kghm.com,,,,,,,,,,"Manufacturing, Natural Resources"
GCL Technology,https://www.crunchbase.com/organization/gcl-technology,,"Manufacturing, Solar, Sustainability","Suzhou, Jiangsu, China","GCL Technology is a manufacturer of solar materials, focused on producing granular silicon using Fluidized Bed Reactor technology.","361,984",$10B+,http://www.gcltech.com/,,,,,,,,,,"Energy, Manufacturing, Natural Resources, Sustainability"
United Aircraft,https://www.crunchbase.com/organization/united-aircraft,,"Aerospace, Air Transportation, Manufacturing, Transportation, Travel","Moscow, Moscow City, Russian Federation","United Aircraft develops, manufactures, sells, and maintains aftersales civil, military, transport, and special-purpose aircraft in Russia.","426,194",$1B to $10B,http://www.uacrussia.ru/,,,,,,,Vladimir Putin,,,"Manufacturing, Science and Engineering, Transportation, Travel and Tourism"
Fokker Technologies,https://www.crunchbase.com/organization/fokker-technologies,,"Aerospace, Manufacturing","Papendrecht, Zuid-Holland, The Netherlands",Fokker Technologies is a strong and reliable partner that offers the individual specialties of our four specialized businesses.,"451,645",,http://www.fokker.com/,,,,,,,Anthony Fokker,,,"Manufacturing, Science and Engineering"
Anglo American,https://www.crunchbase.com/organization/anglo-american-c438,,"Innovation Management, Mining","London, England, United Kingdom",Anglo American is a mining company and products are the essential ingredients in almost every aspect of modern life.,"464,584",$10B+,https://www.angloamerican.com,,,,,,,,,,"Natural Resources, Professional Services"
Grupo Mexico,https://www.crunchbase.com/organization/grupo-mexico,,"Manufacturing, Mining, Precious Metals","Mexico City, Distrito Federal, Mexico",Grupo México is a corporation in Mexico and the third largest copper producer in the world through ASARCO.,"511,148",$10B+,http://www.gmexico.com,,,,,,,"Larrea Mota Velasco, Raúl Antonio Escobedo",,,"Manufacturing, Natural Resources"
Iluka Resources Ltd,https://www.crunchbase.com/organization/iluka-resources-ltd,,"Manufacturing, Mining, Precious Metals","Perth, Western Australia, Australia",Iluka Resources Ltd is a company that produces zircon on a global scale.,"577,289",$500M to $1B,http://www.iluka.com,,,,,,,,,,"Manufacturing, Natural Resources"
Aselsan A.S.,https://www.crunchbase.com/organization/aselsan-a-s,,Information Technology,"Yenimahalle, Ankara, Turkey",ASELSAN is a defense electronics company that offers technological services.,"595,274",,http://www.aselsan.com.tr/en-us/Pages/default.aspx,,,,,,,Prof.Dr.Haluk Gorgun,,,Information Technology
Concern PVO Almaz Antey,https://www.crunchbase.com/organization/concern-pvo-almaz-antey,,"Machinery Manufacturing, Manufacturing, Military, National Security","Moscow, Moscow City, Russian Federation",Almaz Antey Corporation is engaged in development and production of anti-aircraft missile systems and radar reconnaissance systems.,"633,626",,http://www.almaz-antey.ru,,,,,,,,,,"Government and Military, Information Technology, Manufacturing"
Southern Copper Corporation,https://www.crunchbase.com/organization/southern-copper-corporation,,"Industrial, Mineral, Mining Technology","Mexico City, Distrito Federal, Mexico","Southern Copper Corporation is an integrated producer of copper, molybdenum, zinc and silver.","663,304",$10B+,http://www.southerncoppercorp.com/,,,,,,,,,,"Manufacturing, Natural Resources"
IMI Systems,https://www.crunchbase.com/organization/imi-systems,,"Computer, CRM, Electronics, Information Technology, Robotics","Ramat Hasharon, Tel Aviv, Israel",IMI Systems is a a weapons maker known for Uzi submachine guns.,"693,600",,http://www.imisystems.com/,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Sales and Marketing, Science and Engineering, Software"
Melrose Industries,https://www.crunchbase.com/organization/melrose-industries,,Manufacturing,"London, England, United Kingdom","Melrose Industries operates as a holding company, which manufactures electricity generating equipment, switchgear and transformers.","698,212",$1B to $10B,http://www.melroseplc.net/,,,,,,,"Christopher Miller, Simon Peckham",,,Manufacturing
